last_name,congress,house,days_until_term_ends,sex,days_since_strike,relevant,date,loyalty,state_code,dim_2,id,dim_1,office_attainment_type,first_name,strike_recently,icpsr,sentiment,dronebase,title,occupancy,restraining,state,votes,party,filibuster,extreme
GRASSLEY,113,0,1254,1,1,1,7/29/13,0,31,-0.052,955e6e4e7a13f8f3b95327d1982ed06b,0.34,1,Charles,1,14226,0,0,EXECUTIVE SESSION,0,,IOWA,552,0,0,0
REID,110,0,839,1,4,1,9/16/08,0,65,0.258,f3df1c0d68b72975d382fef1593b655d,-0.276,1,Harry,1,15054,1,2,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2009--Continued,0,0,NEVADA,548,1,0,0
,112,,,,3,0,12/12/12,0,,,50d8690a89e1ba990662d9f759af3996,,,,1,,,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2013,,,,,,0,
GRAHAM,113,0,667,1,27,1,3/7/13,0,48,-0.161,2131b49440fdabd4d74c18202b346c82,0.409,1,Lindsey,0,29566,1,0,EXECUTIVE SESSION,0,0,SOUTH C,513,0,0,0
,109,,,,124,1,5/17/06,0,,,e07ae77fc24134ed61faf39bd1e63757,,,,0,,1,,COMPREHENSIVE IMMIGRATION REFORM ACT OF 2006,,0,,,,0,
Barrasso,113,,2129,1,26,1,3/6/13,0,,,041fb569b0a0e8119e1e1439dd7f14e5,,,John,0,,0,0,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,WYOMING,,0,0,
POE,114,1,699,1,2,0,2/4/15,0,49,0.058,e2e7a0bf760e5c8756b6aa3d9aa69675,0.592,1,Ted,1,20528,,2,THE STALKING GOVERNMENT,0,,TEXAS,956,0,0,0
DAINES,114,0,2055,1,2,1,5/20/15,0,64,0.027,e531eb8a1ad5e71d4f7dc363159f52ed,0.52,1,Steve,1,21338,0,1,ENSURING TAX EXEMPT ORGANIZATIONS THE RIGHT TO APPEAL ACT,0,,MONTANA,420,0,0,0
KUCINICH,111,1,445,1,0,1,10/15/09,1,24,0.024,a06416f573fb200c2d2d9ee07b1d2337,-0.582,1,Dennis,1,29748,0,0,PAKISTAN-U.S. RELATIONS,0,,OHIO,982,1,0,0
,114,,,,1,1,6/10/15,0,,,4d96437bc8606b5f2aa0b5ba4a351797,,,,1,,0,,"DEPARTMENT OF DEFENSE APPROPRIATIONS ACT, 2016",,,,,,0,
,113,,,,10,1,3/20/13,0,,,f7e7e7b91d5d043906b38301bbee314a,,,,0,,0,,CONCURRENT RESOLUTION ON THE BUDGET FISCAL YEAR 2014,,,,,,0,
POE,112,1,163,1,1,0,7/24/12,0,49,0.058,ca04bd60dffdd25b3133fd27b504f9fa,0.592,1,Ted,1,20528,,2,THE DRONES ARE COMING,0,,TEXAS,1409,0,0,0
KUCINICH,112,1,231,1,0,1,5/17/12,1,24,0.024,f996c0f6e072a1e6f746156cccc44ec7,-0.582,1,Dennis,1,29748,0,0,"{time} 1500
  NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2013",0,,OHIO,1357,1,0,0
,110,,,,24,0,7/13/07,0,,,a38cb03766350c48f513e70e3c437bd5,,,,0,,,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2008,,,,,,0,
GRASSLEY,113,0,959,1,8,1,5/20/14,0,31,-0.052,cf5357cb1265845fdef5cb30b7a089d2,0.34,1,Charles,0,14226,0,0,BARRON NOMINATION,0,,IOWA,552,0,0,0
GOHMERT,113,1,352,1,1,1,1/16/14,0,49,-0.235,d3ae098647ce612ce44ddec922cda081,0.597,1,Louie,1,20527,0,2,"{time} 1315
  FIRST CONSTITUTIONAL DUTY: PROVIDE FOR OUR COMMON DEFENSE",0,,TEXAS,937,0,0,0
HOLT,112,1,231,1,0,0,5/17/12,1,12,-0.33,9b635d225a8784dc67b48ce0d93cb74a,-0.463,1,Rush,1,29923,,1,"{time} 1500
  NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2013",0,,NEW JER,1425,1,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,1447cd632181c1c17549259cab43e02c,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
,114,,,,16,1,10/7/15,0,,,ba4c0e1d89b06b2bebf18aadb5de9d04,,,,0,,0,,WE SHOULD STOP TRYING TO RUN THE MIDDLE EAST,,,,,,0,
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,be982fcb2c530ddfb107bed6cbbb6fa7,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
FEINSTEIN,114,0,1295,0,9,0,6/18/15,1,71,-0.188,c79b45d2699d6860cf3897f92c6d6ffa,-0.263,1,Dianne,0,49300,,2,STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS,0,,CALIFOR,407,1,0,0
,108,,,,457,0,2/3/04,0,,,f4df83a36f273671513b76815236cdf9,,,,0,,,,IRAQ INTELLIGENCE LAPSES,,,,,,0,
CORNYN,113,0,380,1,7,1,12/19/13,0,49,-0.007,fe3567e5f42f5de179eff35910d0a15d,0.499,1,John,1,40305,1,2,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2014,0,0,TEXAS,534,0,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,88f54cd399ff6d1944bede29a1a5e95a,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
WOLF,113,1,527,1,12,0,7/25/13,0,40,-0.213,203a74e46340e39a2b03529036452a1e,0.284,1,Frank,0,14869,,1,EIGHTH UNANSWERED QUESTION ON BENGHAZI ATTACKS,0,,VIRGINI,1005,0,0,0
KUCINICH,111,1,397,1,12,1,12/2/09,1,24,0.024,0a7fc99e4a19c7e333709b02b788cd22,-0.582,1,Dennis,0,29748,0,0,OUR PRESENCE IN AFGHANISTAN NOT WANTED,0,,OHIO,982,1,0,0
BISHOP,111,1,563,1,1,1,6/19/09,0,67,0.192,1989927f0fdb3eddcf66d2d15de0757d,0.529,1,Rob,1,20357,1,1,EARMARK DECLARATION,0,0,UTAH,897,0,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,d1990d14ff6a05a01b0293f09b8b2f38,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
POE,114,1,630,1,2,0,4/14/15,0,49,0.058,4a86f2dd5ed61f62cac66e128e08385e,0.592,1,Ted,1,20528,,2,SUICIDE DRONES--IRAN,0,,TEXAS,956,0,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,fdf4f60a7514d5e310ca9d0d6d200cb6,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
SHELBY,107,0,816,1,,0,10/10/02,1,41,0.591,ccc8c42a4a5b0df22ab482298befa2f9,0.437,1,Richard,1,94659,,1,AUTHORIZATION OF THE USE OF UNITED STATES ARMED FORCES AGAINST IRAQ,0,,ALABAMA,447,0,0,0
